infraclass,cohort,order,suborder,superfamily,family,subfamily,tribe,genus,species,iBite,ID,specimen,amplification,head.w,head.h,head.l,th.w,body.l,wing.l,latitude,longitude,country,head_w_body_l_ratio,head_volume,wing_body_ratio,mean_distance_to_others,distance_to_reference,kriging_iBite,kriging_variance,cluster
0,2,0,0,6,76,122,0,1.1711356288851007,0.6445225523656527,1106,421,1179,2.0,-0.9500996444044275,-0.8655853904608977,-0.5991436660689655,-1.187721172278503,-1.1897033483753083,-1.1555375552962481,-1.2351791863629697,1.4250375744647654,0,0.42,4.9652189999999985,0.0,10771.494658590396,15040.838681196039,1106.000000002176,7.588739574218647e-07,0
0,2,0,0,6,76,122,0,1.1711356288851007,0.776394513751141,1246,422,1319,2.0,-1.153110418870202,-0.982183504673732,-0.7604970097485976,-1.336610146150643,-1.1853761363275266,-1.1555375552962481,-1.4020848671007413,1.4626130494891212,0,0.32894736842105265,2.6814,0.0,11024.866946245033,15686.857390849682,365.3963099648444,-3441624.281427052,0
0,2,0,0,6,76,122,0,1.1711356288851007,0.776394513751141,1247,422,1320,2.0,-1.1895482501845716,-0.9666370894453541,-0.8379466147148209,-1.3195942634223985,-1.177442914239926,-1.1555375552962481,-1.4020848671007413,1.4626130494891212,0,0.30620985010706636,2.4561679999999995,0.0,11024.866946245033,15686.857390849682,365.3963099648444,-3441624.281427052,0
0,2,0,0,6,86,134,0,-0.7197586483891913,1.5076844814343036,1534,162,1562,2.0,-0.5753105223137668,-0.6323891620352285,0.9046694970252052,-1.3025783806941538,-1.0988318953718883,-1.1555375552962481,-0.398915435770249,-1.3511394795217735,6,0.453125,21.918257999999994,0.0,8875.183704400035,8501.524614415326,41064.18819188391,-78946542.57259335,2
0,2,0,0,6,86,134,0,-0.7197586483891913,1.5076844814343036,1535,162,1563,2.0,-0.4816132417911016,-0.6246159544210397,1.053114573210467,-1.2302608790991145,-0.9560338977950855,-1.1555375552962481,-0.398915435770249,-1.3511394795217735,6,0.36046511627906974,24.955155,0.0,8875.183704400035,8501.524614415326,41064.18819188391,-78946542.57259335,2
0,1,1,10,17,7,9,136,-0.3378538928805905,0.9682082757663968,1538,209,1566,20.0,-1.1739320367641275,-1.1182146379220388,-0.863763149703562,-1.1154036706834638,-1.0634929969816695,-0.899184855290714,-0.398915435770249,-1.3511394795217735,6,0.2336,1.598992,0.52,8875.183704400035,8501.524614415326,41064.18819188391,-78946542.57259335,2
0,1,1,10,17,7,9,136,-0.3378538928805905,0.9682082757663968,2158,209,1566,20.0,-1.1739320367641275,-1.1182146379220388,-0.863763149703562,-1.1154036706834638,-1.0634929969816695,-0.899184855290714,-0.398915435770249,-1.3511394795217735,6,0.2336,1.598992,0.52,8875.183704400035,8501.524614415326,41064.18819188391,-78946542.57259335,2
0,1,1,10,17,7,9,136,0.8264898739139244,0.452708790350397,407,361,0481,2.0,-0.5544889044198412,-0.554657085893339,0.10435691237423028,-0.3964826254151303,-0.6473594383866431,-0.6294229371310444,0.9670936100516124,-0.2774254103418606,4,0.22046589018302828,17.29443,0.5549084858569052,6305.135141523244,533.0880996478187,-1524.7439114364583,-986968.5571783002,1
0,1,1,10,17,7,9,136,0.8264898739139244,0.452708790350397,408,361,0481,2.0,-0.5544889044198412,-0.554657085893339,0.10435691237423028,-0.3964826254151303,-0.6473594383866431,-0.6294229371310444,0.9670936100516124,-0.2774254103418606,4,0.22046589018302828,17.29443,0.5549084858569052,6305.135141523244,533.0880996478187,-1524.7439114364583,-986968.5571783002,1
0,1,1,10,17,7,9,136,0.8264898739139244,0.452708790350397,409,361,0481,2.0,-0.5544889044198412,-0.554657085893339,0.10435691237423028,-0.3964826254151303,-0.6473594383866431,-0.6294229371310444,0.9670936100516124,-0.2774254103418606,4,0.22046589018302828,17.29443,0.5549084858569052,6305.135141523244,533.0880996478187,-1524.7439114364583,-986968.5571783002,1
